channel_id,channel_name,subscribers,views,total_videos,description,playlist_id,country,topicDetails,publishedAt
UCClDtg3ns0xa_d7Q5sK1yOQ,Vijay Karnataka | ವಿಜಯ ಕರ್ನಾಟಕ,1730000,591018359,59044,"Vijay Karnataka is Karnataka's No.1 website & YouTube channel and a unit of Times Internet Limited. The channel has strong backing from the Vijay Karnataka Daily Newspaper and holds pride in its editorial values. The channel covers Karnataka News, Bengaluru, Mysuru, Mangaluru and news from all other cities of Karnataka, National News and International News in Kannada 24x7. Popularly known as VK; the channel delivers Karnataka Business News, Petrol price in Karnataka, Gold price in Karnataka, Latest Sports News in Kannada and also covers off-beat sections like Movie Gossips, DIY Videos, Beauty Tips in Kannada, Health Tips in Kannada, Recipe Videos, Daily Horoscope, Astrology, Tech Reviews etc. 

Subscribe to Vijay Karnataka to catch up on the latest news and trends in Kannada.",UUClDtg3ns0xa_d7Q5sK1yOQ,IN,"{'topicIds': ['/m/098wr', '/m/05qt0'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']}",2012-12-17 16:35:43+05:30
UCRK4FDIkUyslEAUdyRDdCtQ,NEWS9 Live,2140000,760448707,114095,"News9 is India's leading English News Channel. News9 LIVE YouTube channel offers latest news videos on Politics, Business, Cricket, Bollywood, Lifestyle, Auto, Technology, Travel, Entertainment and a lot more. 

Stay tuned for all the breaking news in English !
",UURK4FDIkUyslEAUdyRDdCtQ,IN,"{'topicIds': ['/m/05qt0', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Politics', 'https://en.wikipedia.org/wiki/Society']}",2013-09-16 16:14:28+05:30
UCJEPURf_Y3zWm_RusFLPtpw,JUNOOBI HIND NEWS,18300,3617864,3263,"Junoobi Hind News ( Southern India News) is a Bengaluru based Urdu, Kannada and English digital news channel. It is a platform of Information, Education and Entertainment. Adhering to higher standard of Journalism, it's aim is to highlight public issues, grievances, opinions and to work as a bridge between Government & general public
",UUJEPURf_Y3zWm_RusFLPtpw,IN,"{'topicIds': ['/m/098wr', '/m/06bvp'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Religion']}",2022-01-15 12:39:12.268621+05:30
UCFRlIV1mX-traJb5fd7S3nw,NewsFirst Kannada,4240000,4715245082,183767,"News First is a Pioneering 24x7 Kannada News Channel.
Delivering high quality news content not seen before in Kannada Television News.  
Promoted by the team which brought ‘Live' Kannada news to Karnataka’s doorsteps. 
This daring, dependable and determined team brings credible news to you ‘at any cost’

Be the First to get:

- Breaking local, regional, national and international news
- Extensive Hyper Local News
- In-depth coverage of Karnataka’s Politics
- Detailed National and Regional News 
- The Latest Sports Matches, Scores and more 
- The Widest Cinema Coverage and Biggest Star Stories
- Interesting Stories from Across the World

-----------------------------------------
#news1st, #news1stkannada, #kannadaNews, #kannadaLiveTV,  #kannadaLiveNews,  #karnatakalivekews, #Kannadalivetvnews, #newsfirst, #newsfirstkannada, #newsfirstlive, #kannadanewschannel @newsfirstkannada, #karnatakalatestnews #kannadanews #latestnews #newsfirstlive #kannadanews #newsfirstdigital 
",UUFRlIV1mX-traJb5fd7S3nw,IN,"{'topicIds': ['/m/01k8wb', '/m/098wr', '/m/05qt0'], 'topicCategories': ['https://en.wikipedia.org/wiki/Knowledge', 'https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']}",2018-07-16 12:59:02+05:30
UCHtq26kA5D5anCbPD3HoURw,CTV,50000,11935378,7969,"Providing entertainment along with the latest news and news of the day
CTV News is the household word of the people. Regional cable channel CTV News is available in 24 districts of the state on various networks. CTV Newsweek known for credibility and trust! Encourage CTV News to be your partner
",UUHtq26kA5D5anCbPD3HoURw,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2023-06-10 18:35:12.563668+05:30
UCtujiI6DNTVCGIrQ8YsBBwQ,Hello Ramanagara Kannada News,1560,69395,204,,UUtujiI6DNTVCGIrQ8YsBBwQ,IN,"{'topicIds': ['/m/098wr', '/m/05qt0'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']}",2020-07-07 11:20:06.469802+05:30
UCxjqta72WxqCN2C0MWIf2kw,A1 NEWS DAVANAGERE,23900,4006047,958,"Admin & Editor Mohammed Nizam Bilal Davangere



",UUxjqta72WxqCN2C0MWIf2kw,IN,"{'topicIds': ['/m/06bvp', '/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Religion', 'https://en.wikipedia.org/wiki/Society']}",2017-06-29 00:32:27+05:30
UC-Bx7NMvT1mjQ3Yq2Md6vgQ,BCS NEWS CHANNEL TUMKUR,9620,2234530,743,"Bringing the exclusive coverages of events held at sree siddaganga math and at Siddaganga institute  of technology,Tumkur,Karnataka,India

Do not forget to check the playlists.",UU-Bx7NMvT1mjQ3Yq2Md6vgQ,IN,"{'topicIds': ['/m/019_rr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']}",2021-06-22 19:35:23.116102+05:30
UCxA8PPWi0c0pLqlPV6rmFfg,Vijaya Times,480000,79292329,7598,"ಸ್ವತಂತ್ರ, ನಿರ್ಭೀತ, ಸ್ವಾಭಿಮಾನ ಪತ್ರಿಕೋದ್ಯಮ ನಡೆಸುವುದು ಕಷ್ಟದ ಜೊತೆಗೆ ದುಸ್ಸಾಹಸವೂ ಹೌದು. ಅದರಲ್ಲೂ ತನಿಖಾ ಪತ್ರಿಕೋದ್ಯಮ ನಡೆಸುವುದು ದೊಡ್ಡ ಸವಾಲಿನ ಕೆಲಸ. ಪತ್ರಿಕೋದ್ಯಮದ ಮೂಲಾಧಾರ ಅದರ ವೀಕ್ಷಕರು/ಓದುಗರು. ಜಾಹಿರಾತಿನ ಹೊರತಾಗಿ ನಿಮ್ಮನ್ನೇ ನಂಬಿ ಪತ್ರಿಕೋದ್ಯಮ ನಡೆಸುವುದು, ನಿಮಗೆ ನಿಷ್ಠರಾಗಿ ನಡೆಯುವುದೇ ಸರಿಯಾದ ಮಾರ್ಗ ಮತ್ತು ಅದೇ ನಮಗೆ ದೊಡ್ಡ ಶಕ್ತಿ. ಹಾಗಾಗಿ ನಿಮ್ಮ ಸಹಾಯ, ಸಹಕಾರದಿಂದ ಮುನ್ನಡೆಯಲು ನಿರ್ಧರಿಸಿ ನಿಮಗೆ ಮೊರೆ ಹೋಗುತ್ತಿದ್ದೇನೆ. ಜೊತೆಗಿರುತ್ತೀರಿ ತಾನೆ? ವರ್ಷಕ್ಕೆ 365 ರೂಪಾಯಿ ಪಾವತಿಸಿ. ವಿಜಯಟೈಮ್ಸ್ ಚಂದಾದಾರರಾಗಿ.
.https://www.instamojo.com/@vijayatimessubscription/


Vijaya Times-digital journalism for the changing time and media. First-ever data-driven and investigative digital news production company in the native language of Kannada was founded & initiated by popular-prominent journalist Vijayalakshmi Shibaruru. 

www.vijayatimes.com
www.srishtimediaacademy.com 

Please subscribe to support free, independent, daring, and forward journalism. 

Thank you 
",UUxA8PPWi0c0pLqlPV6rmFfg,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2020-06-07 13:40:36.784748+05:30
UCBusXcy2hNAP_cIP0fCOf_w,Masth Magaa,2750000,831616541,8712,"We are a NEWSY Channel in an EASY format!
'Masth Magaa' channel regularly brings you the major news, happenings and interesting facts in an 'Easy to Understand' manner.! We will simplify it and present it before you with the true spirit of Journalism. Hit that Subscribe button and click on the BELL icon so that u don't miss anything from us!",UUBusXcy2hNAP_cIP0fCOf_w,IN,"{'topicIds': ['/m/098wr'], 'topicCategories': ['https://en.wikipedia.org/wiki/Society']}",2018-04-09 15:00:32+05:30
